Feature,FCA Coef.,PCA Coef.,FA Coef.,Abs FCA Coef.,Abs PCA Coef.,Abs FA Coef.
I41.predAdj,0.0027554951307320855,-0.07911907700260794,-0.14840451917307085,0.0027554951307320855,0.07911907700260794,0.14840451917307085
I42.ADV,-0.20951681842581055,0.007020666576936939,0.016949622247629973,0.20951681842581055,0.007020666576936939,0.016949622247629973
J43.TTR,0.07345677065782864,0.09321402755504143,0.17411666757853367,0.07345677065782864,0.09321402755504143,0.17411666757853367
J44.wordLength,0.17794231912969882,0.041384233385993945,0.1436256375855595,0.17794231912969882,0.041384233385993945,0.1436256375855595
K45.conjuncts,-0.04515423323994646,-0.08954179233026016,-0.28903308468886424,0.04515423323994646,0.08954179233026016,0.28903308468886424
K46.downtoners,0.11744392862321118,0.025615511892770434,0.04508748374365712,0.11744392862321118,0.025615511892770434,0.04508748374365712
K47.generalHedges,-0.012879208655328246,0.03763760452616968,0.004534100674826368,0.012879208655328246,0.03763760452616968,0.004534100674826368
K48.amplifiers,0.10500619147092295,0.014717308870757497,-0.01152109325650559,0.10500619147092295,0.014717308870757497,0.01152109325650559
K49.generalEmphatics,-0.09342760241834776,0.0025450557196050405,-0.0342255493684113,0.09342760241834776,0.0025450557196050405,0.0342255493684113
K50.discoursePart,0.13839933653055056,-0.028712821300008056,-0.01694035189884567,0.13839933653055056,0.028712821300008056,0.01694035189884567
K55.publicVerbs,-0.03227220255737054,0.07850333477909005,0.12485912623399462,0.03227220255737054,0.07850333477909005,0.12485912623399462
K56.privateVerbs,-0.16088703923044712,0.015869066945277326,0.003863319932987788,0.16088703923044712,0.015869066945277326,0.003863319932987788
K57.suasiveVerbs,-0.005179954209960999,0.06967218900450778,0.08034798591528386,0.005179954209960999,0.06967218900450778,0.08034798591528386
K58.seemappear,0.1775803340800003,0.07133331362670628,0.10043602820772708,0.1775803340800003,0.07133331362670628,0.10043602820772708
L52.possibModals,0.02825417585033285,0.03675810405891021,-0.040227558977815506,0.02825417585033285,0.03675810405891021,0.040227558977815506
L53.necessModals,-0.01854092682091113,-0.004595812314320597,-0.0815163451655982,0.01854092682091113,0.004595812314320597,0.0815163451655982
L54.predicModals,-0.01721073175841891,-0.0585825587274965,-0.16916464111301574,0.01721073175841891,0.0585825587274965,0.16916464111301574
N59.contractions,-0.03151411478146275,0.013099764175615909,0.07202537009465547,0.03151411478146275,0.013099764175615909,0.07202537009465547
N60.thatDeletion,0.2029431802884445,0.05169979629480165,0.0681638524606381,0.2029431802884445,0.05169979629480165,0.0681638524606381
N61.strandedPrep,0.0012370420345079614,-0.0038010219822158953,-0.011056588357484628,0.0012370420345079614,0.0038010219822158953,0.011056588357484628
P66.syntNegn,0.015386770715259441,-0.009087676657890186,-0.003987490033946162,0.015386770715259441,0.009087676657890186,0.003987490033946162
P67.analNegn,0.05998619820341433,-0.04898569607550523,-0.1326003785542666,0.05998619820341433,0.04898569607550523,0.1326003785542666
"('ADJ',)",-0.09244571824656332,0.000610194600811242,0.08339392635157432,0.09244571824656332,0.000610194600811242,0.08339392635157432
"('ADP',)",0.31033605402333053,0.004125466348041543,0.09681811517169103,0.31033605402333053,0.004125466348041543,0.09681811517169103
"('ADV',)",0.30991720748210116,0.005634618293808623,0.1040412538845967,0.30991720748210116,0.005634618293808623,0.1040412538845967
"('AUX',)",-0.20301038508981387,-0.025466544946835375,-0.032262960045811695,0.20301038508981387,0.025466544946835375,0.032262960045811695
"('CCONJ',)",-0.03644450409177086,-0.005686141605741326,0.06948390074675753,0.03644450409177086,0.005686141605741326,0.06948390074675753
"('DET',)",-0.09088299998682531,-0.006180246122401279,0.06108385440569636,0.09088299998682531,0.006180246122401279,0.06108385440569636
"('INTJ',)",-0.011154851057724029,0.031634712671704625,0.0790296510725721,0.011154851057724029,0.031634712671704625,0.0790296510725721
"('NOUN',)",-0.19986848590847314,0.007078287767676639,0.09566408484142594,0.19986848590847314,0.007078287767676639,0.09566408484142594
"('NUM',)",0.0010086944410865404,0.027278851136313547,0.19507752142008286,0.0010086944410865404,0.027278851136313547,0.19507752142008286
"('PART',)",0.17352603267758776,-0.02294227486933701,0.025825947122322057,0.17352603267758776,0.02294227486933701,0.025825947122322057
"('PRON',)",0.07139611668607779,-0.008862170316317915,0.02930014003601698,0.07139611668607779,0.008862170316317915,0.02930014003601698
"('PROPN',)",0.2922822346856872,-0.00766140260854126,0.10387552942334753,0.2922822346856872,0.00766140260854126,0.10387552942334753
"('PUNCT',)",0.2622397855038502,0.022663694787629085,0.17116117743323342,0.2622397855038502,0.022663694787629085,0.17116117743323342
"('SCONJ',)",-0.07635413577752338,-0.02366033092506195,0.03406461216044492,0.07635413577752338,0.02366033092506195,0.03406461216044492
"('SPACE',)",0.06771106330144348,0.04562915023153897,0.12626206374274282,0.06771106330144348,0.04562915023153897,0.12626206374274282
"('SYM',)",0.013068558188532753,0.02715801669876716,0.1724907963405942,0.013068558188532753,0.02715801669876716,0.1724907963405942
"('VERB',)",0.101952394275667,0.0038856392793334546,0.0971907733139686,0.101952394275667,0.0038856392793334546,0.0971907733139686
"('X',)pos",0.049407922091193775,0.0018903767864042811,0.09812063094860606,0.049407922091193775,0.0018903767864042811,0.09812063094860606
